year,make,model,trim,body,market,interval_schedule,engine_oil_change,oil_filter,air_filter,cabin_air_filter,fuel_filter,spark_plugs,drive_belt_timing,drive_belt_accessory,coolant,brake_fluid,clutch_fluid,manual_trans_fluid,automatic_trans_fluid,cvt_fluid,front_diff_fluid,rear_diff_fluid,transfer_case_or_center_diff,brake_inspection,tire_rotation,wheel_alignment,engine_air_intake_inspection,battery_service,pcv_valve,throttle_body_service,check_engine_cooling_hoses,check_brake_pads_rotors,check_suspension_steering,check_exhaust,rotate_inspect_tires,notes,source_1,source_2,confidence
2016,Subaru,Exiga,Crossover 7 (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Forester,2.0XT (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Forester,2.0i (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Forester,2.0i-L (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Forester,tS STI (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,G4 1.6i (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,G4 1.6i-L (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,G4 2.0i (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,G4 2.0i-L (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,Sport 1.6i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,Sport 1.6i-L (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,Sport 2.0i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Impreza,Sport 2.0i-S (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Legacy,2.5i Premium (US),,USDM,OEM Schedule (2015+),"normal: 6,000 mi / 9,500 km / 6 mo | severe: 3,000 mi / 5,000 km / 3 mo","replace: 6,000 mi / 9,500 km / 6 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 12,000 mi / 19,500 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo",,,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 6,000 mi / 9,500 km / 6 mo ","rotate: 6,000 mi / 9,500 km / 6 mo ",,,,,,,,,,,timing chain (no interval),Subaru Warranty & Maintenance Booklet,,high
2016,Subaru,Legacy,B4 (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Legacy,B4 Limited (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Legacy,Outback (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Levorg,1.6GT (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Levorg,1.6GT-S (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Levorg,2.0GT (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Levorg,2.0GT-S (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Levorg,2.0STI Sport (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Outback,Limited (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Outback,Limited EyeSight (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Pleo,A (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Pleo,L (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Pleo,Plus (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Pleo,Plus 4WD (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Sambar,Truck (JDM),Truck,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Sambar,Truck 4WD (JDM),Truck,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Sambar,Van (JDM),Van,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Sambar,Van 4WD (JDM),Van,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Stella,Custom R (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Stella,Custom RS (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Stella,G (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Stella,L (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Stella,L 4WD (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Trezia,1.3i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,Trezia,1.5i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2016,Subaru,WRX,Base (US),,USDM,OEM Schedule (2015+),"normal: 6,000 mi / 9,500 km / 6 mo | severe: 3,000 mi / 5,000 km / 3 mo","replace: 6,000 mi / 9,500 km / 6 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 12,000 mi / 19,500 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo",,,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 6,000 mi / 9,500 km / 6 mo ","rotate: 6,000 mi / 9,500 km / 6 mo ",,,,,,,,,,,timing chain (no interval),Subaru Warranty & Maintenance Booklet,,high
